Sentence ID,Word,Tag
1,The,O
1,admin@338,B-HackOrg
1,has,O
1,largely,O
1,targeted,O
1,organizations,O
1,involved,O
1,in,O
1,financial,B-Idus
1,",",O
1,economic,B-Idus
1,and,O
1,trade,B-Idus
1,policy,I-Idus
1,",",O
1,typically,O
1,using,O
1,publicly,B-Tool
1,available,I-Tool
1,RATs,I-Tool
1,such,O
1,as,O
1,Poison,B-Tool
1,Ivy,I-Tool
1,",",O
1,as,O
1,well,O
1,some,O
1,non-public,B-Tool
1,backdoors,I-Tool
1,.,O
2,The,O
2,admin@338,B-HackOrg
2,started,O
2,targeting,O
2,Hong,B-Area
2,Kong,I-Area
2,media,B-Org
2,companies,I-Org
2,",",O
2,probably,O
2,in,O
2,response,O
2,to,O
2,political,B-Idus
2,and,O
2,economic,B-Idus
2,challenges,O
2,in,O
2,Hong,B-Area
2,Kong,I-Area
2,and,O
2,China,B-Area
2,.,O
3,Multiple,O
3,China-based,B-Area
3,cyber,B-HackOrg
3,threat,I-HackOrg
3,groups,I-HackOrg
3,have,O
3,targeted,O
3,international,B-Org
3,media,I-Org
3,organizations,I-Org
3,in,O
3,the,O
3,past,O
3,.,O
4,The,O
4,admin@338,B-HackOrg
4,has,O
4,targeted,O
4,international,B-Org
4,media,I-Org
4,organizations,I-Org
4,in,O
4,the,O
4,past,O
4,.,O
5,In,O
5,August,B-Time
5,2015,I-Time
5,",",O
5,the,O
5,admin@338,B-HackOrg
5,sent,O
5,spear,B-Way
5,phishing,I-Way
5,emails,I-Way
5,to,O
5,a,O
5,number,O
5,of,O
5,Hong,O
5,Kong-based,O
5,media,B-Org
5,organizations,I-Org
5,",",O
5,including,O
5,newspapers,O
5,",",O
5,radio,O
5,",",O
5,and,O
5,television,O
5,.,O
6,In,O
6,August,B-Time
6,2015,I-Time
6,",",O
6,the,O
6,threat,B-HackOrg
6,actors,I-HackOrg
6,sent,O
6,spear,B-Way
6,phishing,I-Way
6,emails,I-Way
6,to,O
6,a,O
6,number,O
6,of,O
6,Hong,O
6,Kong-based,O
6,media,B-Org
6,organizations,I-Org
6,",",O
6,including,O
6,newspapers,O
6,",",O
6,radio,O
6,",",O
6,and,O
6,television,O
6,.,O
7,In,O
7,August,B-Time
7,2015,I-Time
7,",",O
7,the,O
7,admin@338,B-HackOrg
7,sent,O
7,spear,B-Way
7,phishing,I-Way
7,emails,I-Way
7,to,O
7,a,O
7,number,O
7,of,O
